-0.01;-0.01;1.03;2.4;0.86;-5.88;-0.07;0.37;-0.43
-0.01;-0.02;1.03;2.21;0.95;-5.79;-0.08;0.38;-0.42
-0.03;-0.11;1.05;10.48;-4.14;44.64;0.02;0.4;-0.4
0.04;-0.1;1.03;11.6;-4.02;13.47;0.06;0.39;-0.41
0.03;-0.11;1.02;-2.83;-0.33;23.04;0.07;0.39;-0.4
0.08;-0.15;1.05;-0.04;3.72;22.93;0.1;0.36;-0.41
0.01;-0.05;1.04;1.88;0.97;-15.88;0.11;0.35;-0.41
0.05;-0.08;1.01;-8.15;2.41;-46.59;0.09;0.37;-0.41
0.0;-0.04;1.06;1.95;3.99;-70.17;0.04;0.39;-0.41
-0.02;-0.02;1.01;-9.01;6.39;-73.99;-0.03;0.4;-0.42
-0.03;-0.0;1.02;5.23;8.75;-61.57;-0.08;0.38;-0.43
-0.05;0.0;1.05;6.18;3.19;-63.66;-0.12;0.36;-0.43
0.0;-0.01;1.07;-3.34;3.69;-60.52;-0.15;0.31;-0.43
0.2;0.05;1.02;11.6;0.31;-58.03;-0.17;0.26;-0.43
0.18;-0.09;1.03;3.17;11.6;-67.1;-0.17;0.23;-0.44
0.08;0.02;1.01;-12.07;9.17;-59.75;-0.16;0.17;-0.43
0.2;-0.01;1.07;6.32;12.46;-19.68;-0.14;0.14;-0.43
0.14;-0.09;1.01;3.44;-0.54;6.72;-0.14;0.15;-0.43
0.1;-0.0;0.97;12.99;-0.4;35.93;-0.16;0.18;-0.43
0.11;-0.04;1.02;7.74;-16.74;37.0;-0.16;0.21;-0.43
-0.18;0.02;1.04;10.81;-3.11;54.06;-0.18;0.24;-0.42
-0.09;-0.06;1.03;-11.95;-16.49;52.83;-0.18;0.3;-0.42
-0.06;-0.01;1.01;10.53;-6.42;45.29;-0.16;0.34;-0.41
-0.09;-0.01;1.02;10.24;3.28;55.43;-0.13;0.39;-0.4
0.0;-0.11;1.02;-2.08;1.85;54.7;-0.06;0.41;-0.41
0.0;-0.17;1.05;5.82;-10.48;57.28;0.02;0.42;-0.4
0.0;-0.1;1.05;-9.04;-5.32;45.8;0.06;0.39;-0.41
0.06;-0.08;1.0;3.14;-3.71;33.6;0.09;0.36;-0.41
0.03;-0.03;1.02;3.85;5.25;35.62;0.13;0.32;-0.4
0.02;-0.04;1.03;7.9;-5.82;-4.45;0.14;0.28;-0.42
0.03;-0.03;1.04;2.65;5.62;-30.94;0.13;0.3;-0.42
0.03;-0.05;1.04;1.31;-12.93;-72.11;0.1;0.33;-0.42
-0.02;0.14;1.02;9.3;-4.83;-53.47;0.05;0.38;-0.41
-0.05;0.02;1.06;-4.99;9.35;-116.23;-0.04;0.39;-0.43
0.1;-0.11;1.07;2.07;9.19;-141.45;-0.13;0.35;-0.42
-0.07;-0.03;1.04;-12.64;-2.9;-116.58;-0.18;0.29;-0.42
0.07;-0.01;1.05;-21.54;-0.64;-63.45;-0.18;0.21;-0.43
0.15;-0.0;0.99;3.36;17.91;-39.83;-0.15;0.16;-0.43
0.13;-0.04;1.02;0.4;-4.78;-6.95;-0.14;0.15;-0.44
0.11;-0.05;0.96;-5.11;-18.15;27.97;-0.17;0.16;-0.43
-0.04;0.04;1.07;15.1;-5.16;80.73;-0.19;0.21;-0.42
-0.03;-0.15;1.02;18.11;-5.02;83.73;-0.18;0.3;-0.42
-0.08;-0.0;0.99;30.85;1.01;77.23;-0.15;0.37;-0.4
-0.02;-0.13;0.99;-8.81;-3.86;15.68;-0.1;0.42;-0.4
0.01;0.42;1.09;-44.01;-2.41;-18.37;-0.08;0.39;-0.42
-0.01;-0.02;1.01;7.44;0.94;-5.86;-0.07;0.39;-0.42
-0.0;-0.04;1.07;3.01;0.87;-5.93;-0.08;0.38;-0.42
-0.01;-0.02;1.04;2.09;1.08;-5.76;-0.08;0.38;-0.43
-0.01;-0.02;1.04;2.19;1.16;-5.82;-0.08;0.38;-0.42
-0.01;-0.02;1.03;2.32;1.23;-5.52;-0.08;0.38;-0.42
-0.01;-0.03;1.03;2.25;1.14;-5.61;-0.08;0.38;-0.42
