-0.01;-0.01;1.03;2.4;1.02;-5.88;-0.07;0.38;-0.42
-0.01;-0.01;1.03;2.44;0.88;-5.65;-0.08;0.37;-0.42
-0.01;-0.0;1.03;3.75;1.29;-9.92;-0.08;0.38;-0.42
-0.02;-0.02;1.04;2.56;3.81;-5.87;-0.08;0.38;-0.42
-0.0;0.03;1.04;-0.67;2.39;-6.61;-0.08;0.38;-0.42
0.1;-0.0;1.04;9.86;30.27;-3.27;-0.05;0.37;-0.42
0.3;-0.04;1.01;5.16;53.37;3.02;0.02;0.39;-0.41
0.61;-0.03;0.77;1.55;56.7;2.17;0.12;0.38;-0.39
0.77;-0.0;0.61;-1.47;49.13;-5.14;0.19;0.38;-0.33
0.91;-0.01;0.44;-5.86;25.64;-4.47;0.23;0.37;-0.29
0.95;0.02;0.29;1.83;30.12;-5.12;0.24;0.37;-0.25
0.95;-0.0;0.18;0.6;22.98;-2.61;0.26;0.36;-0.22
1.0;-0.01;0.19;12.19;-30.33;-10.84;0.26;0.37;-0.21
0.91;-0.01;0.37;7.19;-43.35;-19.44;0.23;0.38;-0.27
0.85;-0.1;0.43;-1.3;-46.95;-27.42;0.17;0.4;-0.33
0.53;-0.14;1.1;-1.51;-76.91;-20.53;0.09;0.4;-0.38
0.19;-0.05;1.05;6.66;-60.09;1.54;-0.01;0.4;-0.41
-0.15;-0.12;1.0;13.97;-55.93;-7.84;-0.12;0.42;-0.39
-0.41;-0.16;0.99;3.2;-38.52;-15.69;-0.2;0.43;-0.35
-0.56;-0.1;0.83;1.23;-35.05;-5.68;-0.25;0.41;-0.32
-0.71;-0.07;0.71;-2.18;-19.84;-11.49;-0.27;0.4;-0.28
-0.72;-0.08;0.67;-3.62;26.21;-7.68;-0.28;0.4;-0.26
-0.55;-0.07;1.05;0.72;100.88;0.19;-0.24;0.4;-0.32
-0.2;-0.07;0.84;3.97;62.14;3.53;-0.15;0.39;-0.38
0.14;-0.02;1.02;-4.09;51.58;-5.64;-0.05;0.38;-0.42
0.46;-0.05;0.95;-0.73;54.55;1.85;0.07;0.38;-0.41
0.66;0.01;0.78;-1.82;62.44;-1.0;0.14;0.36;-0.38
0.86;0.08;0.5;-6.73;39.65;-15.28;0.21;0.35;-0.33
0.86;0.09;0.52;6.73;-6.99;-5.54;0.22;0.35;-0.31
0.82;0.05;0.54;4.0;-52.73;1.57;0.18;0.35;-0.36
0.29;0.05;1.22;11.82;-137.64;-14.06;0.07;0.36;-0.41
-0.14;-0.04;1.15;3.06;-79.91;-22.54;-0.1;0.38;-0.42
-0.43;-0.08;1.01;19.57;-49.7;-15.93;-0.21;0.39;-0.37
-0.59;0.06;0.77;8.85;-100.04;-12.39;-0.32;0.39;-0.27
-0.84;-0.0;0.38;-0.28;-57.15;-24.66;-0.32;0.38;-0.15
-0.96;-0.06;0.16;2.44;-7.44;-4.54;-0.32;0.38;-0.11
-0.87;-0.03;0.39;-5.67;79.93;-5.41;-0.32;0.38;-0.18
-0.72;-0.06;1.35;-29.94;79.61;-18.7;-0.25;0.38;-0.33
-0.2;0.2;1.05;6.47;111.32;0.8;-0.13;0.35;-0.42
0.45;0.0;0.95;11.53;92.79;5.75;0.04;0.36;-0.42
0.7;0.0;0.65;16.77;77.65;-14.53;0.16;0.35;-0.37
0.86;-0.04;0.48;9.41;38.24;-11.96;0.21;0.38;-0.3
0.93;-0.14;0.46;12.01;-55.29;-7.79;0.22;0.39;-0.3
0.69;0.0;0.7;19.78;-63.62;-3.82;0.15;0.37;-0.37
0.3;-0.02;0.95;15.42;-78.03;-9.91;0.04;0.38;-0.42
0.02;-0.04;1.07;-18.45;-8.32;-4.45;-0.06;0.38;-0.42
-0.01;-0.05;1.07;-1.19;1.05;-5.6;-0.07;0.38;-0.42
-0.0;0.01;0.99;1.67;0.93;-5.62;-0.07;0.38;-0.42
-0.01;-0.01;1.01;2.53;0.9;-6.06;-0.07;0.38;-0.42
-0.01;-0.01;1.02;2.38;1.13;-5.82;-0.07;0.39;-0.42
