-0.01;-0.01;1.03;2.43;1.02;-5.73;-0.07;0.38;-0.43
-0.01;-0.02;1.03;2.53;0.9;-6.19;-0.07;0.39;-0.42
-0.01;-0.01;1.03;2.43;1.02;-5.73;-0.07;0.38;-0.43
-0.01;-0.02;1.03;2.53;0.9;-6.19;-0.07;0.39;-0.42
-0.01;0.02;1.02;2.94;0.77;-6.19;-0.07;0.38;-0.42
-0.01;0.0;1.03;1.28;0.52;-5.92;-0.07;0.37;-0.43
0.03;0.02;1.03;4.21;2.13;-7.14;-0.07;0.38;-0.43
-0.0;0.14;1.04;-55.31;-0.92;-16.96;-0.08;0.34;-0.44
0.02;0.52;0.78;-91.09;-2.71;-17.29;-0.09;0.19;-0.46
0.04;0.83;0.55;-100.44;11.92;-2.44;-0.08;0.05;-0.42
0.01;1.0;0.25;-59.0;9.66;2.31;-0.07;-0.04;-0.34
0.0;0.94;-0.01;-6.27;2.14;-7.54;-0.07;-0.09;-0.28
0.02;1.03;0.05;68.48;-2.07;0.21;-0.07;-0.07;-0.31
-0.0;0.93;0.45;74.52;-1.83;-12.54;-0.07;0.02;-0.4
0.04;0.73;0.73;80.75;-6.29;-4.02;-0.07;0.12;-0.46
0.02;0.36;0.96;79.04;-1.98;-4.25;-0.08;0.26;-0.46
0.04;-0.13;1.02;73.95;4.72;-7.27;-0.07;0.4;-0.42
0.05;-0.5;0.92;84.14;2.59;-7.71;-0.07;0.5;-0.31
0.08;-0.81;0.68;36.4;4.19;1.37;-0.06;0.55;-0.2
0.07;-0.86;0.51;43.29;-6.93;-3.72;-0.05;0.55;-0.13
0.04;-1.02;0.33;63.07;-2.52;-8.85;-0.06;0.54;-0.07
0.04;-0.97;0.19;14.74;-2.1;-4.44;-0.05;0.53;-0.03
0.05;-0.97;0.2;-42.3;7.99;-15.6;-0.05;0.54;-0.03
0.06;-0.93;0.46;-51.35;8.15;-7.46;-0.06;0.55;-0.12
0.08;-0.71;0.77;-96.72;25.15;-5.11;-0.06;0.53;-0.25
0.13;-0.34;1.0;-71.28;6.78;-0.55;-0.04;0.46;-0.36
0.15;0.14;1.02;-118.36;6.98;-1.62;-0.03;0.33;-0.45
0.12;0.61;0.77;-72.36;-2.36;2.87;-0.04;0.15;-0.46
0.09;0.9;0.49;-78.47;-5.25;1.43;-0.05;0.03;-0.42
0.03;0.94;0.27;-10.51;-7.19;2.03;-0.06;-0.03;-0.36
0.02;0.92;0.23;4.52;3.59;-6.28;-0.06;-0.04;-0.35
0.03;0.95;0.28;41.14;3.34;-8.1;-0.07;-0.02;-0.36
0.06;0.79;0.62;59.81;-3.52;-16.53;-0.07;0.09;-0.44
0.03;0.57;0.82;59.06;-0.3;-3.61;-0.06;0.16;-0.46
0.06;0.26;1.0;102.95;0.91;-3.8;-0.06;0.31;-0.46
0.05;-0.37;0.98;85.52;1.85;-5.97;-0.06;0.46;-0.36
0.06;-0.65;0.82;70.03;-1.05;-1.92;-0.06;0.53;-0.26
0.04;-0.87;0.56;51.61;-5.49;-3.51;-0.05;0.55;-0.16
0.02;-0.92;0.4;12.1;4.77;-6.56;-0.05;0.56;-0.12
0.03;-0.88;0.48;-43.43;12.38;-9.11;-0.06;0.55;-0.14
0.07;-0.6;0.87;-96.64;17.42;-9.11;-0.06;0.52;-0.29
0.11;-0.17;1.03;-98.3;9.02;-2.87;-0.05;0.42;-0.4
0.13;0.27;0.98;-59.5;2.87;0.84;-0.04;0.28;-0.46
0.06;0.67;0.81;-74.37;-6.37;-1.82;-0.05;0.14;-0.46
0.04;0.89;0.48;-49.8;0.31;0.0;-0.06;0.03;-0.41
0.02;0.94;0.26;-18.51;0.22;4.16;-0.07;-0.03;-0.35
0.02;0.95;0.28;62.45;-1.76;-6.03;-0.07;-0.03;-0.36
-0.01;0.82;0.6;78.07;-4.38;-4.94;-0.07;0.07;-0.43
0.0;0.41;0.92;78.36;0.8;-8.46;-0.08;0.23;-0.47
-0.01;0.11;0.99;60.19;-0.26;-5.67;-0.07;0.34;-0.45
0.0;-0.04;1.07;13.87;-1.3;-6.25;-0.07;0.39;-0.42
0.01;-0.06;1.01;3.46;5.99;-3.86;-0.07;0.39;-0.43
-0.01;0.06;0.93;-0.56;1.02;-5.93;-0.07;0.38;-0.42
-0.01;-0.0;1.0;3.79;1.06;-5.73;-0.06;0.39;-0.42
-0.01;-0.02;1.02;3.28;0.79;-6.2;-0.07;0.38;-0.42
-0.01;-0.01;1.02;2.68;0.91;-6.04;-0.07;0.38;-0.42
-0.01;-0.01;1.03;2.53;1.02;-6.18;-0.07;0.38;-0.42
-0.01;-0.01;1.03;2.32;1.03;-5.57;-0.07;0.38;-0.43
