82,24
81,16
80,29
82,49
81,85
81,14
81,94
81,68
82,71
81,49
81,16
80,29
82,49
81,85
81,14
81,94
81,68
82,71
81,49
81,16
80,29
82,49
81,85
73,78
67,77
61,21
54,79
51,76
44,63
38,49
38,13
30,70
24,61
23,82
18,16
13,84
6,37
1,51
0,30
-5,98
-7,85
-17,50
-22,32
-23,26
-27,96
-31,78
-35,49
-44,21
-45,42
-51,20
-54,51
-57,96
-63,92
-68,54
-71,93
-76,02
-85,21
-86,71
-83,37
-82,12
-83,58
-74,58
-67,90
-60,00
-47,45
-46,25
-41,85
-38,87
-35,42
-32,60
-26,59
-24,81
-19,33
-13,84
-11,23
-7,81
-4,28
3,96
6,98
4,05
16,34
11,10
20,49
25,38
28,80
31,84
38,59
43,03
49,50
50,67
61,59
64,14
67,78
70,55
73,75
79,39
83,08
85,19
84,37
79,54
74,74
71,28
65,16
60,03
55,81
51,89
44,53
43,27
38,67
35,95
30,33
28,98
22,76
19,77
13,30
13,30
8,27
6,85
2,45
3,20
-8,27
-10,34
-12,33
-16,00
-18,94
-25,05
-28,87
-32,18
-38,03
-41,88
-44,39
-50,49
-50,17
-62,73
-63,09
-66,65
-70,75
-71,08
-75,96
-76,50
-81,83
-72,46
-83,46
-77,40
-72,67
-70,32
-65,41
-55,97
-43,98
-42,99
-37,11
-33,32
-29,61
-21,69
-19,82
-15,44
-10,85
-7,08
0,00
1,97
4,81
10,12
12,33
18,58
19,12
23,01
26,32
31,29
35,30
39,71
45,84
50,31
54,20
60,61
65,55
70,40
74,32
78,05
81,99
82,40
83,88
88,45
83,69
71,49
79,74
84,36
84,86
84,62
84,64
84,05
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
