38019,36,19,-1,-320,34,18
38036,34,21,-1,-321,34,18
38054,33,22,-1,-321,34,18
38072,33,25,-1,-321,34,19
38089,31,23,-1,-322,34,19
38106,31,23,-1,-322,34,19
38122,26,20,-1,-322,33,19
38140,27,16,0,-322,32,19
38161,30,18,0,-323,32,19
38179,30,19,0,-323,32,19
38197,32,17,0,-323,32,19
38213,32,17,0,-323,32,19
38230,36,12,0,-323,32,18
38250,36,13,0,-323,33,18
38268,35,17,0,-323,33,18
38285,35,23,0,-323,33,18
38304,32,19,0,-323,33,19
38324,34,21,0,-323,33,19
38341,34,21,0,-323,33,19
38358,37,22,0,-323,34,19
38378,35,28,0,-323,34,20
38395,38,37,0,-323,35,22
38412,47,49,0,-323,36,25
38428,47,49,0,-323,36,25
38444,49,43,0,-324,37,27
38462,39,34,0,-324,37,28
38481,40,23,1,-325,38,27
38498,42,22,1,-325,38,27
38517,38,14,0,-326,38,25
38534,38,14,0,-326,38,25
38554,35,21,0,-327,38,25
38569,37,17,0,-327,38,24
38588,37,19,0,-328,38,23
38606,33,23,0,-328,37,23
38624,29,25,0,-328,36,23
38641,29,25,0,-328,36,23
38661,29,29,0,-329,36,24
38678,32,28,0,-329,35,24
38695,33,25,0,-330,35,24
38713,33,24,0,-330,35,24
38730,34,24,0,-330,34,24
38746,34,24,0,-330,34,24
38763,33,24,0,-331,34,24
38780,38,21,0,-331,35,24
38796,39,23,-1,-331,35,24
38813,30,29,-1,-331,35,25
38830,30,29,-1,-331,35,25
38846,24,30,-1,-332,33,25
38865,22,26,-1,-332,32,25
38882,37,23,-1,-333,33,25
38898,37,23,-1,-333,33,25
38917,27,27,-1,-333,32,25
38934,28,26,-1,-333,32,25
38951,27,26,-1,-333,31,25
38970,31,27,-1,-334,31,26
38989,35,25,-1,-334,31,26
39006,35,25,-1,-334,31,26
39025,36,26,-1,-334,32,26
39045,30,26,-2,-334,32,26
39062,27,29,-2,-335,31,26
39078,32,28,-1,-335,31,26
39096,30,29,-1,-335,31,27
39114,15,29,-1,-336,29,27
39130,15,29,-1,-336,29,27
39146,26,33,-1,-337,29,28
39163,32,25,-1,-337,29,27
39180,33,27,-1,-337,30,27
39196,33,27,-1,-337,30,27
39212,33,24,-1,-338,30,27
39231,31,21,-1,-339,30,26
39248,32,24,-1,-339,30,26
39265,33,25,-1,-340,30,26
39281,33,25,-1,-340,30,26
39297,17,20,-1,-341,29,25
39314,21,21,-1,-342,28,24
39329,33,13,-1,-342,29,23
39346,33,13,-1,-342,29,23
39364,32,17,-1,-343,29,22
39382,34,10,-1,-344,29,21
39398,25,13,-1,-345,29,20
39416,29,20,-1,-346,29,19
39436,31,12,-1,-347,29,18
39453,31,12,-1,-347,29,18
39472,33,11,-1,-348,30,17
39489,32,7,-1,-349,30,16
39510,31,-7,-1,-350,30,13
39528,26,-1,-1,-351,30,11
39546,31,3,-1,-353,30,10
39564,30,-2,-1,-354,30,8
39580,30,-2,-1,-354,30,8
39597,32,0,-1,-356,30,6
39613,28,-6,-2,-357,30,4
39631,26,-17,-2,-359,29,1
39647,27,-26,-2,-361,29,-2
39664,27,-26,-2,-361,29,-2
39684,27,-29,-2,-362,29,-5
39700,30,-25,-2,-364,29,-8
39717,26,-36,-2,-366,28,-12
39734,23,-42,-2,-367,28,-16
39753,23,-41,-2,-368,27,-19
39771,23,-41,-2,-368,27,-19
39788,24,-49,-2,-370,27,-23
39808,31,-38,-2,-371,27,-26
39825,24,-47,-2,-372,27,-29
39845,25,-52,-2,-373,27,-32
39863,24,-59,-2,-374,26,-35
39879,24,-59,-2,-374,26,-35
39896,25,-59,-2,-375,26,-39
39912,25,-54,-2,-376,26,-41
39930,24,-59,-2,-377,26,-44
39949,24,-63,-2,-378,26,-47
39966,24,-63,-2,-378,26,-47
39984,24,-60,-2,-380,25,-49
40001,24,-68,-2,-381,25,-52
40020,25,-72,-2,-382,25,-55
40038,22,-73,-2,-383,25,-58
40054,23,-74,-3,-385,25,-61
40073,23,-74,-3,-385,25,-61
40090,21,-83,-3,-386,24,-64
40107,22,-87,-3,-387,24,-67
40123,20,-88,-3,-389,23,-71
40143,26,-86,-3,-390,24,-74
40163,21,-94,-3,-391,23,-77
40179,21,-94,-3,-391,23,-77
40196,16,-102,-3,-392,22,-81
40216,18,-98,-3,-393,22,-83
40237,17,-102,-3,-395,21,-87
40254,18,-104,-3,-396,21,-89
40272,20,-103,-3,-397,21,-92
40292,16,-114,-3,-398,20,-95
40312,17,-112,-3,-399,20,-98
40329,17,-112,-3,-399,20,-98
40345,17,-112,-3,-400,19,-101
40362,17,-121,-3,-400,19,-104
40379,17,-124,-3,-401,19,-107
40398,13,-119,-3,-402,18,-109
40417,17,-116,-3,-402,18,-111
40434,17,-116,-3,-402,18,-111
40451,17,-117,-3,-403,18,-113
40471,14,-118,-3,-403,17,-114
40488,14,-118,-3,-403,17,-116
40504,15,-111,-3,-403,17,-116
40521,15,-111,-3,-403,17,-116
40538,14,-115,-3,-403,16,-117
40555,15,-115,-3,-403,16,-117
40573,13,-118,-3,-402,16,-118
40590,12,-109,-2,-401,15,-117
40606,12,-109,-2,-401,15,-117
40623,15,-102,-2,-400,15,-116
40640,20,-90,-2,-399,16,-114
40658,23,-82,-2,-398,17,-111
40678,23,-88,-2,-398,17,-108
40696,23,-81,-2,-397,18,-106
40712,23,-81,-2,-397,18,-106
40730,21,-77,-2,-396,18,-103
40747,20,-76,-2,-395,18,-100
40765,22,-78,-2,-395,19,-98
40782,23,-77,-2,-394,19,-96
40798,23,-77,-2,-394,19,-96
40816,22,-76,-2,-393,19,-94
40833,18,-66,-1,-392,19,-91
40853,21,-59,-1,-391,19,-88
40871,24,-48,-1,-390,20,-83
40888,24,-45,-1,-390,20,-79
40904,24,-45,-1,-390,20,-79
40922,22,-50,-1,-389,20,-76
40941,22,-49,-1,-388,20,-73
40958,21,-40,-1,-387,20,-69
40976,21,-33,-1,-386,21,-65
40996,23,-35,-1,-385,21,-62
41012,23,-35,-1,-385,21,-62
41028,26,-25,0,-384,21,-57
41045,26,-19,0,-384,22,-53
41062,25,-19,0,-383,22,-49
41080,27,-10,0,-382,23,-45
41097,27,-10,0,-382,23,-45
41114,25,-15,0,-381,23,-41
41130,25,-10,0,-380,23,-37
41148,25,-2,0,-379,23,-33
41166,29,1,0,-378,24,-29
41183,29,1,0,-378,24,-29
41200,26,-3,0,-377,24,-25
41217,24,1,0,-376,24,-22
41235,25,13,0,-375,24,-17
41254,30,22,0,-374,25,-12
41271,30,22,0,-373,26,-8
41288,30,22,0,-373,26,-8
41306,30,23,0,-372,26,-4
41323,28,29,1,-371,26,0
41341,28,33,1,-370,27,4
41358,30,38,1,-369,27,9
41375,28,42,1,-368,27,13
41392,28,42,1,-368,27,13
41412,27,45,1,-367,27,17
41428,30,48,1,-366,27,22
41444,28,50,1,-365,28,26
41464,29,51,1,-365,28,29
41482,29,51,1,-365,28,29
41499,28,60,1,-364,28,33
41518,28,62,1,-364,28,37
41538,29,63,1,-363,28,41
41555,30,63,1,-362,28,44
41571,28,74,1,-362,28,48
41589,28,70,2,-361,28,52
41605,28,70,2,-361,28,52
41622,29,71,2,-361,28,55
41638,29,72,2,-361,28,57
41655,31,74,2,-360,29,60
41671,31,74,2,-360,29,60
41687,30,77,2,-360,29,63
41704,29,81,2,-360,29,66
41722,30,79,2,-360,29,68
41742,30,77,2,-360,29,70
41762,29,80,2,-360,29,72
41778,29,80,2,-360,29,72
41797,28,80,2,-360,29,74
41816,28,85,2,-360,29,76
41834,28,84,2,-360,29,77
41850,28,82,2,-360,29,79
41870,28,83,3,-361,29,80
41887,28,83,3,-361,29,80
41905,29,83,3,-361,29,81
41924,28,83,3,-362,29,82
41940,29,86,2,-363,29,83
41960,29,80,2,-364,29,83
41978,27,76,2,-364,29,83
41995,28,74,2,-365,29,82
42014,28,74,2,-365,29,82
42031,28,78,2,-366,29,82
42047,28,76,2,-368,28,82
42066,27,76,2,-369,28,82
42082,27,71,2,-370,28,81
42100,27,71,2,-370,28,81
42117,26,66,2,-371,28,80
42136,27,67,2,-372,28,79
42156,27,67,2,-373,28,78
42174,27,70,1,-375,27,77
42194,30,62,1,-376,28,76
42212,29,53,1,-377,28,73
42229,29,53,1,-377,28,73
42248,28,55,1,-378,28,71
42267,31,50,1,-380,28,69
42286,29,48,1,-381,28,67
42305,27,47,1,-382,28,65
42324,26,46,1,-383,28,63
42341,27,47,1,-385,28,61
42357,27,42,1,-386,27,59
42375,27,42,1,-386,27,59
42391,27,35,1,-388,27,57
42407,27,31,1,-389,27,54
42427,26,30,1,-390,27,51
42443,28,24,1,-392,27,48
42460,28,24,1,-392,27,48
42479,30,27,1,-393,27,46
42496,26,20,1,-395,27,43
42513,27,17,0,-396,27,40
42532,25,11,0,-398,27,36
42549,26,3,0,-399,27,32
42565,26,3,0,-399,27,32
42582,26,4,0,-400,27,29
42598,25,2,0,-401,27,26
42614,25,1,0,-402,26,23
42630,25,1,0,-402,26,23
42646,26,0,0,-403,26,20
42664,24,0,0,-404,26,18
42685,25,0,0,-405,26,16
42705,27,0,0,-407,26,13
42724,27,-5,0,-408,26,11
42742,26,-13,0,-410,26,8
42762,26,-13,0,-410,26,8
42778,25,-19,0,-411,26,4
42794,24,-22,0,-412,26,1
42812,23,-22,0,-413,25,-1
42831,23,-24,0,-414,25,-4
42852,22,-19,0,-415,25,-6
42871,23,-30,0,-416,24,-9
42887,23,-30,0,-416,24,-9
42905,22,-32,0,-417,24,-12
42925,22,-32,0,-418,24,-15
42944,23,-30,0,-419,24,-17
42962,26,-33,0,-421,24,-19
42978,24,-44,0,-422,24,-23
42997,24,-44,0,-422,24,-23
43014,23,-44,0,-423,24,-26
43031,23,-48,0,-425,24,-29
43047,23,-51,0,-426,24,-32
43064,22,-54,0,-428,23,-35
43081,22,-54,0,-428,23,-35
43100,24,-55,0,-429,23,-38
43119,23,-63,0,-430,23,-41
43138,21,-67,0,-432,23,-45
43155,21,-69,0,-433,23,-48
43172,22,-71,0,-434,23,-52
43189,22,-71,0,-434,23,-52
43207,21,-73,0,-435,23,-55
43224,20,-78,0,-436,22,-58
43243,19,-81,0,-437,22,-61
43263,18,-85,0,-438,21,-65
43278,20,-79,0,-439,21,-67
43296,20,-79,0,-439,21,-67
43314,20,-79,0,-440,21,-69
43330,21,-84,0,-441,21,-72
43347,18,-90,0,-442,21,-74
43363,19,-95,0,-442,21,-77
43380,19,-95,0,-442,21,-77
43397,19,-94,0,-443,20,-80
43416,21,-88,0,-443,20,-82
43436,22,-89,0,-444,20,-83
43456,21,-91,0,-444,21,-85
43475,21,-89,0,-444,21,-86
43495,22,-88,0,-444,21,-87
43513,22,-88,0,-445,21,-87
43528,22,-88,0,-445,21,-87
43544,21,-89,0,-445,21,-88
43561,20,-89,0,-445,21,-89
43579,20,-87,0,-445,21,-89
43597,19,-83,0,-444,20,-89
43613,19,-83,0,-444,20,-89
43630,19,-85,0,-444,20,-89
43647,20,-84,0,-444,20,-89
43664,20,-81,0,-443,20,-88
43680,20,-76,0,-443,20,-87
43697,20,-76,0,-443,20,-87
43713,22,-73,0,-442,20,-86
43729,23,-67,0,-441,20,-84
43747,21,-61,0,-441,20,-82
43762,21,-61,0,-441,20,-82
43779,24,-60,0,-440,21,-80
43795,23,-57,0,-440,21,-77
43812,23,-57,0,-439,21,-75
43830,23,-57,0,-439,21,-75
43846,23,-50,0,-438,21,-73
43863,23,-47,0,-437,22,-70
43881,23,-45,0,-437,22,-67
43897,23,-44,0,-436,22,-65
43913,23,-44,0,-436,22,-65
43930,21,-46,0,-435,22,-62
43947,25,-39,0,-434,22,-60
43963,24,-29,0,-433,22,-56
43980,24,-22,0,-432,22,-52
43997,24,-22,0,-432,22,-52
44013,26,-17,0,-431,23,-48
44029,24,-14,0,-430,23,-44
44046,25,-6,0,-429,23,-40
44062,25,-6,0,-429,23,-40
44079,26,-3,0,-428,23,-35
44098,25,-5,1,-427,23,-31
