80,93;91,89;81,77
82,08;91,90;81,84
81,61;91,92;81,81
82,51;NaN;82,36
80,83;91,91;81,99
80,93;91,89;81,77
82,08;91,90;81,84
81,61;91,92;81,81
79,72;90,00;87,94
79,97;90,03;86,37
80,92;89,98;85,25
80,37;89,98;84,27
79,94;89,96;83,39
80,63;89,86;82,76
80,54;89,67;82,16
80,99;89,50;81,79
81,58;89,45;81,71
80,72;89,55;81,59
82,46;89,56;81,77
80,31;89,57;81,49
79,77;89,49;81,08
79,07;89,35;80,56
78,51;89,19;80,03
79,54;88,88;79,69
80,29;88,45;79,46
79,94;87,89;79,11
78,47;87,15;78,39
79,46;86,45;78,04
77,19;85,78;77,34
75,88;85,13;76,52
74,36;84,52;75,60
72,31;83,92;74,46
72,51;83,42;73,68
74,02;83,01;73,42
73,84;82,61;73,18
73,10;82,14;72,79
73,08;81,48;72,32
74,54;80,72;72,16
73,08;79,92;71,71
70,83;79,21;70,96
71,52;78,60;70,59
69,24;77,94;69,79
69,20;77,21;69,08
69,98;76,38;68,60
66,11;75,42;67,34
65,15;74,71;66,33
65,75;73,95;65,61
63,96;73,18;64,66
64,95;72,21;63,94
62,79;71,04;62,78
57,77;70,13;61,05
59,77;69,45;60,25
59,93;68,86;59,71
57,61;68,19;58,75
57,40;67,26;57,74
58,92;66,33;57,23
57,25;65,53;56,60
55,88;64,83;55,89
55,02;64,14;55,16
53,20;63,25;54,06
52,20;62,37;52,98
46,87;61,61;51,15
47,74;60,91;49,91
50,91;60,35;49,66
51,01;59,65;49,37
49,45;58,81;48,72
49,67;57,81;48,10
44,02;56,87;46,54
41,32;56,12;44,90
42,37;55,54;43,92
42,66;55,07;43,30
44,53;54,64;43,20
43,62;54,30;43,01
46,07;53,99;43,37
47,30;53,65;43,89
43,72;53,25;43,53
42,64;52,75;42,95
40,16;52,24;41,98
40,29;51,79;41,29
42,63;51,43;41,27
45,35;50,94;41,69
41,80;50,36;41,25
38,64;49,68;40,19
35,97;49,01;38,81
35,62;48,39;37,67
35,24;47,94;36,83
35,39;47,59;36,26
37,79;47,26;36,30
37,46;46,87;36,22
35,29;46,60;35,82
36,08;46,32;35,65
37,01;46,06;35,71
34,54;45,76;35,24
34,07;45,39;34,71
34,93;44,95;34,40
35,53;44,50;34,27
35,83;43,97;34,16
32,18;43,43;33,32
31,45;42,91;32,53
32,79;42,38;32,16
32,24;41,87;31,77
34,96;41,26;31,92
30,77;40,58;31,15
28,70;39,91;30,12
27,19;39,39;29,12
28,51;38,82;28,54
24,88;38,22;27,33
28,13;37,68;27,06
26,34;37,20;26,53
23,75;36,68;25,56
24,94;36,28;25,12
25,29;35,77;24,75
21,39;35,34;23,73
24,05;35,00;23,52
28,44;34,65;24,22
22,13;34,13;23,39
21,84;33,67;22,71
22,35;33,21;22,27
20,90;32,78;21,65
25,98;32,37;22,19
20,17;31,94;21,44
21,25;31,38;20,96
20,30;30,80;20,36
17,94;30,18;19,38
19,51;29,58;18,93
19,50;28,99;18,57
16,77;28,28;17,64
16,11;27,75;16,91
17,79;27,10;16,56
15,83;26,45;15,90
17,01;25,88;15,67
15,70;25,20;15,12
12,23;24,54;14,02
12,12;23,86;13,10
10,85;23,14;12,07
10,61;22,57;11,32
10,54;21,95;10,67
12,62;21,37;10,59
9,99;20,66;9,91
7,61;20,02;8,93
6,78;19,40;8,01
5,15;18,73;6,90
6,07;18,17;6,29
7,91;17,58;6,14
5,83;16,92;5,55
5,66;16,23;5,02
3,37;15,65;4,22
5,20;15,02;3,92
0,62;14,51;2,85
3,44;13,99;2,55
2,92;13,49;2,23
1,64;12,88;1,62
3,58;12,34;1,58
4,72;11,78;1,76
-1,94;11,10;0,48
-4,69;10,40;-1,12
-4,90;9,83;-2,33
-9,16;9,39;-4,05
-0,98;9,18;-3,60
2,34;8,89;-2,65
-1,15;8,52;-2,64
0,70;8,05;-2,35
-2,88;7,46;-2,93
-4,96;6,89;-3,79
-6,35;6,28;-4,79
-6,06;5,72;-5,50
-7,68;5,20;-6,35
-6,46;4,60;-6,85
-3,80;3,99;-6,72
-5,08;3,30;-6,95
-6,69;2,64;-7,42
-6,30;1,94;-7,76
-10,72;1,10;-9,02
-13,85;0,38;-10,56
-12,73;-0,28;-11,53
-13,71;-0,88;-12,45
-14,70;-1,43;-13,34
-14,02;-2,01;-13,93
-14,63;-2,62;-14,56
-17,57;-3,24;-15,66
-18,14;-3,70;-16,52
-13,40;-4,17;-16,27
-13,90;-4,78;-16,29
-14,59;-5,36;-16,41
-18,94;-6,07;-17,48
-21,90;-6,70;-18,87
-22,09;-7,35;-20,04
-18,78;-7,98;-20,29
-16,54;-8,59;-20,02
-18,41;-9,41;-20,36
-22,52;-10,15;-21,39
-22,61;-10,91;-22,23
-22,14;-11,76;-22,90
-25,34;-12,49;-23,97
-22,46;-13,34;-24,34
-22,70;-14,13;-24,65
-25,89;-15,08;-25,66
-27,67;-16,22;-26,98
-33,92;-17,09;-29,06
-29,96;-17,91;-29,89
-23,74;-18,70;-29,30
-31,33;-19,61;-30,43
-29,86;-20,71;-31,19
-32,61;-21,73;-32,29
-38,83;-22,88;-34,53
-40,74;-23,68;-36,40
-36,59;-24,45;-37,06
-32,56;-25,35;-36,88
-37,73;-26,29;-37,80
-39,50;-27,26;-38,92
-44,89;-28,23;-40,89
-44,62;-28,99;-42,24
-40,83;-29,85;-42,64
-40,10;-30,81;-42,90
-40,80;-31,93;-43,38
-47,42;-33,20;-45,20
-45,91;-34,46;-46,35
-50,34;-35,61;-48,07
-49,42;-36,62;-49,15
-49,52;-37,55;-49,97
-52,69;-38,60;-51,36
-52,29;-39,62;-52,36
-55,63;-40,56;-53,77
-57,54;-41,31;-55,12
-55,04;-41,98;-55,64
-55,22;-42,50;-55,97
-54,87;-42,90;-56,07
-54,46;-43,36;-56,12
-55,10;-43,80;-56,26
-52,31;-44,24;-55,83
-54,03;-44,59;-55,74
-55,03;-44,99;-55,92
-54,19;-45,50;-55,98
-57,77;-46,02;-56,76
-60,68;-46,60;-58,00
-58,51;-47,14;-58,54
-60,50;-47,60;-59,30
-62,15;-48,04;-60,22
-61,69;-48,56;-60,93
-60,17;-49,11;-61,22
-56,63;-49,49;-60,61
-63,47;-50,07;-61,64
-63,48;-50,68;-62,50
-67,29;-51,10;-63,80
-64,97;-51,67;-64,48
-65,44;-52,19;-65,10
-65,23;-52,78;-65,59
-62,97;-53,36;-65,53
-68,19;-54,03;-66,60
-65,79;-54,72;-66,99
-64,27;-55,29;-66,90
-71,66;-55,73;-68,20
-67,06;-56,17;-68,33
-64,92;-56,65;-68,03
-72,87;-57,15;-69,40
-65,14;-57,56;-68,87
-67,72;-58,10;-69,08
-73,18;-58,68;-70,36
-69,15;-59,27;-70,59
-72,83;-59,90;-71,54
-67,51;-60,61;-71,31
-67,20;-61,45;-71,16
-72,54;-62,66;-72,40
-71,57;-63,79;-73,14
-77,85;-64,96;-75,01
-80,05;-65,70;-76,61
-79,19;-66,55;-77,81
-75,70;-67,42;-78,08
-74,49;-68,17;-77,97
-86,46;-68,86;-80,22
-76,66;-69,69;-80,17
-78,84;-70,29;-80,38
-84,91;-70,87;-81,75
-80,96;-71,38;-82,00
-87,30;-71,78;-83,39
-83,00;-72,08;-83,55
-83,38;-72,41;-83,78
-81,27;-72,77;-83,57
-80,27;-73,12;-83,18
-85,31;-73,57;-83,97
-83,70;-73,83;-84,12
-87,77;-74,15;-85,10
-79,88;-74,54;-84,38
-81,82;-74,80;-84,07
-85,72;-75,06;-84,61
-83,80;-75,46;-84,77
-81,05;-75,96;-84,43
-85,68;-76,39;-85,02
-80,31;-76,85;-84,45
-83,41;-77,28;-84,58
-84,01;-77,61;-84,73
-81,89;-77,90;-84,40
-82,02;-78,13;-84,10
-82,13;-78,23;-83,79
-85,47;-78,27;-84,15
-84,01;-78,37;-84,21
-84,00;-78,36;-84,16
-84,43;-78,40;-84,24
-85,04;-78,50;-84,49
-83,90;-78,36;-84,26
-82,33;-78,36;-83,86
-84,00;-78,38;-83,91
-84,42;-78,29;-83,94
-85,64;-78,18;-84,19
-82,55;-78,12;-83,82
-84,28;-77,90;-83,73
-82,25;-77,62;-83,21
-81,53;-77,38;-82,68
-85,62;-77,17;-83,11
-82,85;-76,97;-82,89
-84,14;-76,55;-82,81
-84,39;-75,88;-82,58
-84,19;-75,14;-82,31
-84,88;-74,43;-82,26
-81,73;-73,60;-81,49
-80,34;-72,61;-80,47
-81,58;-71,42;-79,74
-81,80;-70,42;-79,35
-81,09;-69,58;-79,03
-77,44;-68,88;-78,15
-79,08;-67,97;-77,60
-78,09;-67,07;-76,98
-83,91;-66,06;-77,56
-76,35;-65,17;-76,61
-79,38;-64,31;-76,48
-80,31;-63,23;-76,38
-75,40;-62,00;-75,19
-76,38;-60,74;-74,43
-71,72;-59,70;-73,06
-70,87;-58,65;-71,78
-69,51;-57,64;-70,51
-69,20;-56,64;-69,46
-66,30;-55,54;-67,94
-67,48;-54,46;-66,99
-62,73;-53,28;-65,20
-63,00;-52,07;-63,78
-67,00;-51,07;-63,63
-67,80;-49,86;-63,49
-70,17;-48,47;-63,72
-62,74;-47,12;-62,44
-54,63;-45,89;-59,90
-57,05;-44,85;-58,49
