93,48
93,78
94,26
94,92
95,21
95,08
94,85
93,11
93,29
93,48
93,78
94,26
94,92
95,21
95,08
94,85
77,35
74,07
65,77
63,60
61,60
60,97
59,27
56,24
50,52
50,24
48,74
46,65
43,74
42,19
40,15
37,20
34,31
33,03
29,72
26,05
24,36
22,70
20,80
18,09
17,16
14,57
13,77
10,34
7,91
5,75
1,47
-0,22
-1,98
-5,04
-6,06
-10,42
-13,66
-18,68
-23,51
-27,12
-29,65
-33,03
-38,22
-42,78
-46,69
-51,72
-52,95
-56,00
-57,62
-57,86
-56,43
-53,18
-48,81
-45,32
-42,75
-39,65
-38,09
-34,76
-27,00
-23,17
-20,25
-16,72
-14,19
-10,28
-7,16
-4,44
-0,25
2,60
7,41
11,91
14,40
17,29
21,63
24,96
28,31
32,99
36,56
40,86
46,29
50,88
54,97
60,09
64,50
67,35
70,48
74,17
77,33
81,09
86,38
91,47
96,42
100,48
104,83
109,72
112,02
113,24
114,34
113,22
111,83
106,82
103,12
98,16
94,06
90,68
85,68
83,55
80,91
79,06
74,92
72,36
70,07
68,74
63,75
62,02
56,46
52,95
51,31
45,65
43,38
39,10
37,50
33,61
32,77
29,56
24,66
22,14
20,01
15,39
13,95
11,15
8,48
4,90
3,58
-2,02
-5,76
-7,16
-9,98
-14,73
-17,93
-23,45
-28,61
-32,45
-34,78
-39,62
-42,81
-43,43
-46,29
-48,08
-49,05
-50,32
-49,57
-42,30
-38,58
-30,80
-25,41
-18,33
-11,24
-0,62
3,43
11,75
15,33
21,67
23,89
31,49
36,54
42,25
50,15
53,35
58,82
64,30
65,24
71,34
75,04
79,95
85,25
89,06
94,27
98,96
104,92
109,59
114,55
118,92
123,33
128,43
130,59
134,25
137,15
137,33
137,75
140,69
142,73
143,07
148,28
148,18
148,04
148,40
149,12
149,18
149,72
150,06
149,85
149,83
149,83
